performance_medium_id,performance_medium_type_id,performance_medium_description
wind.reed.saxophone.sopranissimo,wind,Sopranissimo Saxophone
wind.reed.saxophone.soprano,wind,Soprano Saxophone
wind.reed.saxophone.subcontrabass,wind,Subcontrabass Saxophone
wind.reed.saxophone.tenor,wind,Tenor Saxophone
wind.reed.shawm,wind,Shawm
wind.reed.shenai,wind,Shenai
wind.reed.sheng,wind,Sheng
wind.reed.sipsi,wind,Sipsi
wind.reed.sopila,wind,Sopila
wind.reed.sorna,wind,Sorna
wind.reed.sralai,wind,Sralai
wind.reed.suona,wind,Suona
wind.reed.surnai,wind,Surnai
wind.reed.taepyeongso,wind,Taepyeongso
wind.reed.tarogato,wind,Tarogato
wind.reed.tarogato.ancient,wind,Ancient Tarogato
wind.reed.trompeta-china,wind,Trompeta-china
wind.reed.tubax,wind,Tubax
wind.reed.xaphoon,wind,Xaphoon
wind.reed.zhaleika,wind,Zhaleika
wind.reed.zurla,wind,Zurla
wind.reed.zurna,wind,Zurna
wood.agogo-block,wood,Agogo Block
wood.agung-a-tamlang,wood,Agung-a-tamlang
wood.ahoko,wood,Ahoko
wood.bones,wood,Bones
wood.castanets,wood,Castanets
wood.claves,wood,Claves
wood.drum-sticks,wood,Drum Sticks
wood.gourd,wood,Gourd
wood.granite-block,wood,Granite Block
wood.guban,wood,Guban
wood.guiro,wood,Guiro
wood.hyoushigi,wood,Hyoushigi
wood.ipu,wood,Ipu
wood.jam-block,wood,Jam Block
wood.kaekeeke,wood,Kaekeeke
wood.kagul,wood,Kagul
wood.kalaau,wood,Kalaau
wood.kashiklar,wood,Kashiklar
wood.kubing,wood,Kubing
wood.pan-clappers,wood,Pan Clappers
wood.sand-block,wood,Sand Block
wood.slapstick,wood,Slapstick
wood.stir-drum,wood,Stir Drum
wood.temple-block,wood,Temple Block
wood.tic-toc-block,wood,Tic-toc Block
wood.tonetang,wood,Tonetang
wood.wood-block,wood,Wood Block
unspecified.basso.continuo,unspecified,Basso Continuo
unspecified.unspecified,unspecified,Unspecified
